﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7JDvVwntDsOPoWFEE0iGfQ","Constructive Summer","The Hold Steady","Stay Positive","1","1","175733","spotify:user:124275045","2015-05-07T13:14:53Z"
"spotify:local:Lorde:Pure+Heroine:Ribs:259","Ribs","Lorde","Pure Heroine","0","0","259000","spotify:user:124275045","2015-05-07T13:12:04Z"
"spotify:track:3s4U7OHV7gnj42VV72eSZ6","Rather Be (feat. Jess Glynne)","Clean Bandit, Jess Glynne","Rather Be (feat. Jess Glynne)","1","1","227833","spotify:user:124275045","2015-05-07T13:13:13Z"
"spotify:track:6mnjcTmK8TewHfyOp3fC9C","Die Young","Kesha","Warrior (Deluxe Version)","1","2","211920","spotify:user:124275045","2015-05-07T13:14:01Z"
"spotify:track:0yIIMU2fTWV9oKj9n0egBe","Heart Of My Own","Basia Bulat","Heart Of My Own","1","5","229626","spotify:user:124275045","2015-05-07T13:15:42Z"
"spotify:track:5rP9Weh1uFtlyRGqnzyQnd","Towers","Bon Iver","Bon Iver","1","4","188040","spotify:user:124275045","2015-05-10T14:00:42Z"
"spotify:track:2hZgzCpTzSuiyrPz7d5XsO","Sinking In The Lonesome Sea","The Carter Family","Can The Circle Be Unbroken: Country Music's First Family","1","9","194400","spotify:user:124275045","2015-05-14T15:01:02Z"
"spotify:track:5JwK7v6XhG0YgqDuCgzOy8","And She Was","Talking Heads","Little Creatures","1","1","219200","spotify:user:124275045","2015-05-14T20:21:54Z"
"spotify:track:0TWx16aLskabXzhHTTPulV","Regret","St. Vincent","St. Vincent","1","7","201760","spotify:user:124275045","2015-05-19T19:24:56Z"
"spotify:track:2mwCXoukBIeGtkPhTgBY9p","Sights","London Grammar","If You Wait","1","5","253000","spotify:user:124275045","2015-05-20T19:29:44Z"
"spotify:local:Lana+Del+Rey:Born+To+Die:Video+Games:282","Video Games","Lana Del Rey","Born To Die","0","0","282000","spotify:user:124275045","2015-05-27T00:08:05Z"
"spotify:track:1M0g1beKC4H9gbrOiSayHW","National Anthem","Lana Del Rey","Born To Die - The Paradise Edition","1","6","230520","spotify:user:124275045","2015-05-27T00:08:21Z"
"spotify:track:6PUIzlqotEmPuBfjbwYWOB","Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix / Radio Edit","Lana Del Rey, Cedric Gervais","Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix)","1","1","214912","spotify:user:124275045","2015-05-27T19:57:01Z"
