﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:76BWRxjtRHUuWY1mJUrcC9","24-25","Kings of Convenience","Declaration Of Dependence","1","1","218266","spotify:user:124275045","2014-01-08T21:58:57Z"
"spotify:track:1RY9gtVub1j9dTG7KHtgXU","The North","Stars","The North","1","3","292133","spotify:user:124275045","2014-01-08T20:06:07Z"
"spotify:track:2HVjoeDzbkvoNMJ0ltqKLN","1901","Birdy","Birdy (Deluxe Version)","1","1","311226","spotify:user:124275045","2013-12-28T20:40:52Z"
"spotify:track:2zxAhvBTj5ZKbC3mgLEJJY","Hold on When You Get Love and Let Go When You Give It","Stars","The North","1","4","279000","spotify:user:124275045","2013-12-28T20:41:22Z"
"spotify:track:3egyVB4OXuOx6TArfweK3r","Bath Is Black","Marika Hackman","That Iron Taste","1","1","186373","spotify:user:124275045","2014-01-14T17:31:17Z"
"spotify:track:5bGd0OxvxZSATIf2eEkmTD","Holocene","Bon Iver","Bon Iver","1","3","336613","spotify:user:124275045","2013-12-28T20:41:57Z"
"spotify:track:6x7oPOBrfsqx9WbON5X1go","Mexico","The Staves","Dead & Born & Grown","1","10","246413","spotify:user:124275045","2013-12-28T20:43:03Z"
"spotify:track:7wwduj5xFymwA0BNIkzDSx","Unbelievers","Piano Tribute Players","Piano Tribute to Vampire Weekend","1","4","190186","spotify:user:124275045","2013-12-28T20:43:16Z"
"spotify:track:2Cq2BrkoxqMvP3hcJHWNga","Silvia","Miike Snow","Miike Snow (Deluxe Edition)","1","3","385666","spotify:user:124275045","2013-12-28T20:43:26Z"
"spotify:track:6rjtB7KSIiJ6v9vrACMlqF","400 Lux","Lorde","Pure Heroine","1","2","234286","spotify:user:124275045","2013-12-28T20:43:45Z"
"spotify:track:2AyTXn8x2GUmDi7byehyLA","Young Blood","Birdy","Birdy (Deluxe Version)","1","7","244320","spotify:user:124275045","2014-01-09T17:17:02Z"
"spotify:track:6PVflGjnmARNlJic3ztAID","Someone","Basia Bulat","Tall Tall Shadow","1","7","195440","spotify:user:124275045","2013-12-28T20:44:00Z"
"spotify:track:5eM6Rrk8rwLpUhrh7Kk5R1","California","Joni Mitchell","Blue","1","6","230226","spotify:user:124275045","2013-12-28T20:44:39Z"
"spotify:track:09FzRXMaMYvr693O4mASgF","The Crooked Kind","Radical Face","The Family Tree: The Branches","1","6","279453","spotify:user:124275045","2014-01-05T02:49:54Z"
"spotify:track:25nzKGDiua1lE9Qo5V19GL","Young Blood","The Naked And Famous","Passive Me, Aggressive You","1","7","246600","spotify:user:124275045","2014-01-07T03:11:43Z"
"spotify:track:7Gu2gmZdFbQzTdqz0Plx6j","Sigur 1 (Untitled)","Sigur Rós","(Untitled)","1","1","398320","spotify:user:124275045","2014-01-08T17:53:13Z"
"spotify:track:4DNAEZeTuCDZjPE6bQ7F2v","The Theory of Relativity","Stars","The North","1","1","266826","spotify:user:124275045","2014-01-08T19:56:39Z"
"spotify:track:2MAaXdV02vZIp6PUNRQyxu","And I Remember Every Kiss","Jens Lekman","Night Falls Over Kortedala","1","1","179373","spotify:user:124275045","2014-01-11T02:48:37Z"
"spotify:track:7EdwWyPnHkbi9KuG4wyKmc","You Come Down","Marika Hackman","That Iron Taste","1","7","174426","spotify:user:124275045","2014-01-14T18:55:02Z"
"spotify:track:2PneLeg6vQyecRgYhubY2V","Bei Mir Bist Du Schon","The Andrews Sisters","Andrews Sisters 1937/38 Remastered Hits","1","2","186711","spotify:user:124275045","2014-01-19T01:02:19Z"
"spotify:track:2VtnDXZeLMPWyVqD7FKtAQ","Got To Give It Up","Marvin Gaye","The Very Best Of Marvin Gaye","2","11","712386","spotify:user:124275045","2014-01-19T00:52:10Z"
"spotify:track:6tBjH7uQkbyVCkTbwnYKxb","Love Like a Sunset Part II","Phoenix","Wolfgang Amadeus Phoenix","1","5","116746","spotify:user:124275045","2014-01-27T01:13:53Z"
