﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4eFiCu3wn3CE7CjrZLDfks","Witching Hour","Madeline Kenney","Night Night At The First Landing","1","3","184640","spotify:user:124275045","2019-01-01T14:39:36Z"
"spotify:track:7F5oktn5YOsR9eR5YsFtqb","New Year’s Day","Taylor Swift","reputation","1","15","235466","spotify:user:124275045","2019-01-01T14:41:30Z"
"spotify:track:6QhsrapGos2nKB181JpanR","This Place Is a Prison - Remastered","The Postal Service","Give Up (Deluxe 10th Anniversary Edition)","1","8","234386","spotify:user:124275045","2019-01-05T20:38:05Z"
"spotify:track:0zL5EQRbzUC5dOr8GFGP4d","Privilege","Stars","There Is No Love In Fluorescent Light","1","1","266773","spotify:user:124275045","2019-01-01T18:17:14Z"
"spotify:track:5U4KihyhECuTIQOyGNf0a8","Lonely Lonely","Feist","Let It Die","1","6","250120","spotify:user:124275045","2019-01-07T23:32:14Z"
"spotify:track:2YYzFLlQ3nJzsX4TzT2Kz2","Chateau - Holmsey Remix","Angus & Julia Stone, Holmsey","Chateau (Holmsey Remix)","1","1","240083","spotify:user:124275045","2019-01-04T16:15:38Z"
"spotify:track:4ujAa4KLZWj8OzAyTK19m7","A Life Apart","Spencer Zahn, Half Waif","A Life Apart","1","1","212736","spotify:user:124275045","2019-01-01T18:23:35Z"
"spotify:track:2f4u3vLxgYGiRqJI32wnkd","Turn Around","The Postal Service","Give Up (Deluxe 10th Anniversary Edition)","2","1","225226","spotify:user:124275045","2019-01-05T20:45:03Z"
"spotify:track:2rPE9A1vEgShuZxxzR2tZH","thank u, next","Ariana Grande","thank u, next","1","1","207333","spotify:user:124275045","2019-01-04T16:13:54Z"
"spotify:track:0Xh3WyHlIp4W4o0nmXxVAv","Ne Me Quitte Pas","Nina Simone","I Put A Spell On You","1","3","214533","spotify:user:124275045","2019-01-04T18:19:36Z"
"spotify:track:5S2nbsTiNdfnb9wwSbUlCM","Mushaboom - Postal Service Remix","Feist","Mushaboom (Postal Service Remix)","1","1","213293","spotify:user:124275045","2019-01-05T19:29:21Z"
"spotify:track:4QJ9qzD7PHDET2bwlOxXyO","Your Heart Is An Empty Room","Death Cab for Cutie","Plans","1","6","219360","spotify:user:124275045","2019-01-07T22:03:34Z"
"spotify:track:01Ouj17NKiLvm5iiapgSPx","Hollow Body","Many Rooms","Hollow Body","1","3","302000","spotify:user:124275045","2019-01-08T00:29:51Z"
"spotify:track:4DyfJFTQb27adTDdhFeSgD","Alaska","Maggie Rogers","Now That The Light Is Fading","1","2","189400","spotify:user:124275045","2019-01-19T17:00:36Z"
"spotify:track:3hU637WcAGM5ubSqeaTme5","The Show Must Go On - Remastered 2011","Queen","Innuendo (Deluxe Remastered Version)","1","12","277826","spotify:user:124275045","2019-01-08T13:25:10Z"
"spotify:track:2dIIl3C4sSn3Jj0FQMKpHG","Tornerai - Remastered","Carlo Buti","Il canzoniere degli anni '30","1","45","186618","spotify:user:124275045","2019-01-20T23:34:29Z"
"spotify:track:7vcNp4cj4uF4AyX5aKY4Ps","You're Not Good Enough","Blood Orange","Cupid Deluxe","1","2","261360","spotify:user:124275045","2019-01-09T17:26:51Z"
"spotify:track:6q8onrzcka32nGVrnWYGBQ","Lovers","Anna Of The North","Lovers","1","3","215773","spotify:user:124275045","2019-01-09T18:56:07Z"
"spotify:track:7sx3aDUXa9tSDcDqYhIcVI","This / That","Sarah Jaffe","Bad Baby","1","7","268271","spotify:user:124275045","2019-01-09T20:07:51Z"
"spotify:track:3uQ9tq0eQKvfJOARl0UB4q","The New Year","Death Cab for Cutie","Transatlanticism","1","1","246373","spotify:user:124275045","2019-01-07T21:10:17Z"
"spotify:track:3vx3J3TSgqR6BW4JBXf4Ui","Eyes Shut","Years & Years","Communion (Deluxe)","1","6","198226","spotify:user:124275045","2019-01-09T21:31:02Z"
"spotify:track:3buy5Ooz6uNL48W1yBUzbM","Seventeen","Sharon Van Etten","Seventeen","1","1","265920","spotify:user:124275045","2019-01-10T00:09:29Z"
"spotify:track:11r8xMuVTS66RjtYgLneRw","Fallingwater","Maggie Rogers","Fallingwater","1","1","270094","spotify:user:124275045","2019-01-19T17:00:17Z"
"spotify:track:4NIcYijT2VBKHgJvy94OPp","Courtyard","Bobbie Gentry","The Girl From Chickasaw County - The Complete Capitol Masters","2","12","178146","spotify:user:124275045","2019-01-10T00:42:27Z"
"spotify:track:3FeyKZZcU7ywuJ0LtFSuBO","Cool","Soccer Mommy","Clean","1","2","196011","spotify:user:124275045","2019-01-10T00:56:44Z"
"spotify:track:0Ult84lvFuqNvbyXwyRQ58","I Miss You (feat. Julia Michaels)","Clean Bandit, Julia Michaels","What Is Love? (Deluxe)","1","11","205986","spotify:user:124275045","2019-01-16T13:39:46Z"
"spotify:track:0CZ8lquoTX2Dkg7Ak2inwA","1950","King Princess","1950","1","1","225133","spotify:user:124275045","2019-01-16T13:46:15Z"
"spotify:track:1qfAWRJXPBq45Z52a8heKp","Rooting for My Baby","Miley Cyrus","Bangerz (Deluxe Version)","1","14","200333","spotify:user:124275045","2019-01-16T14:49:52Z"
"spotify:track:4LDdojvio0hoUkiiSa6Fds","Hover I","Andrew Bird","I Want to See Pulaski at Night","1","5","208720","spotify:user:124275045","2019-01-16T22:26:48Z"
"spotify:track:5ODaowDOBDynSlH3FJOOJG","New Slang (triple j Like A Version)","Vallis Alps","New Slang (triple j Like A Version)","1","1","233146","spotify:user:124275045","2019-01-21T00:35:55Z"
"spotify:track:732uqsu5j3zGRDCTXfZJI2","Challengers","The New Pornographers","Challengers","1","3","211533","spotify:user:124275045","2019-01-17T14:54:58Z"
