﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7q4MJZSiqPC16dbhQWxugv","Cape Cod Kwassa Kwassa","Vampire Weekend","Vampire Weekend","1","4","214706","spotify:user:124275045","2015-06-13T20:51:49Z"
"spotify:local:Sylvan+Esso:Ligaments+of+Right+Hand:Coffee:271","Coffee","Sylvan Esso","Ligaments of Right Hand","0","0","271000","spotify:user:124275045","2015-06-24T12:35:31Z"
"spotify:track:2XPc8gL9PwxGURQFcFaDJR","Cheerleader - Felix Jaehn Remix Radio Edit","OMI, Felix Jaehn","Cheerleader (Felix Jaehn Remix Radio Edit)","1","1","181826","spotify:user:124275045","2015-06-05T19:37:03Z"
"spotify:track:4KcVVhAaHxqtX2ANt4b3tc","Lean On","Major Lazer, MØ, DJ Snake","Lean On","1","1","176561","spotify:user:124275045","2015-06-05T19:41:40Z"
"spotify:local:The+War+on+Drugs:Ligaments+of+Right+Hand:Red+Eyes:300","Red Eyes","The War on Drugs","Ligaments of Right Hand","0","0","300000","spotify:user:124275045","2015-06-24T12:37:36Z"
"spotify:track:5ApxZEQ1u6BhPrqeolLi6K","The Limit To Your Love","Feist","The Reminder","1","8","260986","spotify:user:124275045","2015-06-27T13:53:43Z"
"spotify:local:The+Kinks:The+Kinks:All+Day+And+All+Of+The+Night:144","All Day And All Of The Night","The Kinks","The Kinks","0","0","144000","spotify:user:124275045","2015-06-24T22:19:51Z"
"spotify:track:4KtrE35pTuqwNc22QP58RT","Drop the Game","Flume, Nick Murphy / Chet Faker","Lockjaw","1","1","221894","spotify:user:124275045","2015-06-30T01:39:54Z"
"spotify:track:140nBf3GZIWqPfrQKtdH7c","Ladies Of Cambridge","Vampire Weekend","Mansard Roof","1","2","158960","spotify:user:124275045","2015-06-13T20:59:16Z"
"spotify:track:6mnjcTmK8TewHfyOp3fC9C","Die Young","Kesha","Warrior (Deluxe Version)","1","2","211920","spotify:user:124275045","2015-06-11T19:21:04Z"
"spotify:local:Coldplay:A+Rush+of+Blood+to+the+Head:Green+Eyes:223","Green Eyes","Coldplay","A Rush of Blood to the Head","0","0","223000","spotify:user:124275045","2015-06-13T20:19:26Z"
"spotify:track:49DKrioOpK5IpKHRJzznST","Bryn","Vampire Weekend","Vampire Weekend","1","7","133173","spotify:user:124275045","2015-06-13T21:02:00Z"
"spotify:local:Real+Estate:Ligaments+of+Right+Hand:Wonder+Years:156","Wonder Years","Real Estate","Ligaments of Right Hand","0","0","156000","spotify:user:124275045","2015-06-24T12:37:26Z"
"spotify:local:Otis+Redding:The+Dock+Of+The+Bay+%28The+Definitive+Collection%29:%28I+Can%27t+Get+No%29+Satisfaction:168","(I Can't Get No) Satisfaction","Otis Redding","The Dock Of The Bay (The Definitive Collection)","0","0","168000","spotify:user:124275045","2015-06-24T22:16:53Z"
"spotify:track:7pHz9U4AZVAQXjs6ik0duH","Cath...","Death Cab for Cutie","Narrow Stairs","1","4","229666","spotify:user:124275045","2015-06-24T22:17:31Z"
"spotify:local:Toto:Emotion+98.3+-+GTA+Vice+City:Africa:295","Africa","Toto","Emotion 98.3 - GTA Vice City","0","0","295000","spotify:user:124275045","2015-06-24T22:19:32Z"
"spotify:track:1oPenAfTz9oa1RWNBGy0tO","Gold","Nick Murphy / Chet Faker","Built on Glass","1","5","285290","spotify:user:124275045","2015-06-26T22:06:19Z"
"spotify:track:0xkRMasLtvGqw7AUli6b0e","Hold Me Down","Halsey","Hold Me Down","1","1","204785","spotify:user:124275045","2015-06-26T22:24:47Z"
"spotify:track:6FrWcLu0aYg14wV4mnYMlH","You Don't Know Me","Son Lux","Bones","1","4","220480","spotify:user:124275045","2015-06-30T01:16:03Z"
