﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5wIeuNURiubue1VTcglU57","Woman","Kesha, The Dap-Kings Horns","Woman","1","1","196360","spotify:user:124275045","2017-07-15T00:42:58Z"
"spotify:track:1o3vlEkPJCJM4CijiVJXx5","Signs of Life","Arcade Fire","Signs of Life","1","1","276613","spotify:user:124275045","2017-07-08T17:38:07Z"
"spotify:track:3HWxpLKnTlz6jE3Vi5dTF2","I am trying to break your heart","Wilco","Yankee Hotel Foxtrot","1","1","418200","spotify:user:124275045","2017-07-03T17:58:27Z"
"spotify:track:09x9v1o51dbqi5H0u7UGfp","I Will - Remastered 2009","The Beatles","The Beatles (Remastered)","1","16","105933","spotify:user:124275045","2017-07-08T15:21:15Z"
"spotify:track:2GO8ZpAPxr1obsQ9PqSQc5","Sprawl II (Mountains Beyond Mountains)","Arcade Fire","The Suburbs Deluxe","1","15","325706","spotify:user:124275045","2017-07-08T17:46:22Z"
"spotify:track:7gMlhlV1AllhpBM8ssg7z6","Escapee","Architecture In Helsinki","Moment Bends","1","2","178146","spotify:user:124275045","2017-07-09T22:23:29Z"
"spotify:track:79NlESqzFSW0hdBWgls4FX","Praying","Kesha","Praying","1","1","230269","spotify:user:124275045","2017-07-10T13:05:55Z"
"spotify:track:6ie2Bw3xLj2JcGowOlcMhb","Green Light","Lorde","Melodrama","1","1","234652","spotify:user:124275045","2017-07-12T13:41:45Z"
"spotify:track:3UaX90mgCwDJv0M5TLlGzk","Nothing's Wrong","HAIM","Something to Tell You","1","2","189146","spotify:user:124275045","2017-07-10T13:09:59Z"
"spotify:track:0Cd90ZG3gQ1bqdcxRmY7KW","Iditarod","Cape Francis","Iditarod - Single","1","1","268341","spotify:user:124275045","2017-07-11T15:16:15Z"
"spotify:track:1QNoKVgA758HFLu3TW2q7R","Kill Em With Kindness","Selena Gomez","Revival (Deluxe)","1","2","217906","spotify:user:124275045","2017-07-10T22:46:20Z"
"spotify:track:6EJiVf7U0p1BBfs0qqeb1f","Cut To The Feeling","Carly Rae Jepsen","Cut To The Feeling","1","1","207959","spotify:user:124275045","2017-07-11T18:22:27Z"
"spotify:track:1fPCGREltHJuV3axEPydLp","Loba","Shakira","She Wolf (Expanded Edition)","1","10","189200","spotify:user:124275045","2017-07-12T13:41:32Z"
"spotify:track:4UBuYQKupTjLEj6Ud6iu3d","Gonna Get Better","Broken Social Scene","Hug Of Thunder","1","11","310880","spotify:user:124275045","2017-07-14T17:21:30Z"
"spotify:track:4rrv74IfFp1zjnlS02LvIX","Isa Lei","Ry Cooder & V.M. Bhatt","A Meeting by the River","1","4","469000","spotify:user:124275045","2017-07-14T17:48:30Z"
"spotify:track:4H4KkHfXJs3cQEnbNW3bVS","Clair de Lune","Flight Facilities, Christine Hoberg","Down To Earth","1","7","459840","spotify:user:124275045","2017-07-14T17:57:03Z"
"spotify:track:5JwLhFNrXw49pn3HQqu02G","Summer Bummer (feat. A$AP Rocky & Playboi Carti)","Lana Del Rey, A$AP Rocky, Playboi Carti","Summer Bummer","1","1","260672","spotify:user:124275045","2017-07-15T00:46:15Z"
"spotify:track:6PUIzlqotEmPuBfjbwYWOB","Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix / Radio Edit","Lana Del Rey, Cedric Gervais","Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix)","1","1","214912","spotify:user:124275045","2017-07-15T03:08:05Z"
"spotify:track:5zGPITTmaPqluxoPFYRsOY","Love","Lana Del Rey","Love","1","1","278360","spotify:user:124275045","2017-07-15T03:13:59Z"
"spotify:track:2nMeu6UenVvwUktBCpLMK9","Young And Beautiful","Lana Del Rey","Young And Beautiful","1","1","236053","spotify:user:124275045","2017-07-15T03:19:49Z"
"spotify:track:4hhbhtAXFPk18e9UxLq1nc","Scythian Empires","Andrew Bird","Armchair Apocrypha","1","10","274506","spotify:user:124275045","2017-07-15T03:24:34Z"
"spotify:track:2jvO50o2rJMDWQxF2zOIoF","Roma Fade","Andrew Bird","Are You Serious (Deluxe Edition)","1","2","243120","spotify:user:124275045","2017-07-15T03:38:08Z"
"spotify:track:0bpXQ5CZ9rzAaGUSPKzI1r","This Flight Tonight","Joni Mitchell","Blue","1","7","172600","spotify:user:124275045","2017-07-15T04:15:28Z"
"spotify:track:4elbVXqYcmvakKQKpJ0ZUP","You're Gonna Make Me Lonesome When You Go","Miley Cyrus","Chimes Of Freedom: The Songs Of Bob Dylan Honoring 50 Years Of Amnesty International","2","5","211866","spotify:user:124275045","2017-07-28T19:11:38Z"
"spotify:track:0uHYplBhwLYey7f9qAmnSM","The Night They Drove Old Dixie Down","Joan Baez","Blessed Are...","1","2","206066","spotify:user:124275045","2017-07-15T04:36:36Z"
"spotify:local:Nina+Simone:Verve+Remixed+3:Lilac+Wine+%28The+Album+Leaf+Remix%29:345","Lilac Wine (The Album Leaf Remix)","Nina Simone","Verve Remixed 3","0","0","345000","spotify:user:124275045","2017-07-15T06:00:32Z"
"spotify:track:77TT8Xvx637TpzV8kKGkUw","Titanium (feat. Sia)","David Guetta, Sia","Nothing But The Beat","1","13","245040","spotify:user:124275045","2017-07-18T01:44:45Z"
"spotify:track:3JKhmIlixlYwFLzrkc6drb","Learn To Let Go","Kesha","Learn To Let Go","1","1","217546","spotify:user:124275045","2017-07-28T18:25:54Z"
"spotify:track:2habSXqcJGExM6JJyskY7O","Malibu","Miley Cyrus","Malibu","1","1","231905","spotify:user:124275045","2017-07-28T19:05:40Z"
"spotify:track:1KljYilVsvy0Z5r2yaCKr4","There Is a Light That Never Goes Out","Dum Dum Girls","He Gets Me High","1","4","255826","spotify:user:124275045","2017-07-28T19:15:55Z"
