﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0VGbAzr6HfFp0ew9gFUvQh","Warm Blood","Carly Rae Jepsen","Warm Blood","1","1","253080","spotify:user:124275045","2015-08-02T21:59:41Z"
"spotify:track:4kbj5MwxO1bq9wjT5g9HaA","Shut Up and Dance","WALK THE MOON","TALKING IS HARD","1","3","199080","spotify:user:124275045","2015-08-02T21:59:48Z"
"spotify:track:6FXNfYIY6iEeCKuIeSYWgg","Can't Feel My Face","The Weeknd","Can’t Feel My Face","1","1","215612","spotify:user:124275045","2015-08-02T21:59:50Z"
"spotify:track:4KcVVhAaHxqtX2ANt4b3tc","Lean On","Major Lazer, MØ, DJ Snake","Lean On","1","1","176561","spotify:user:124275045","2015-08-02T22:00:02Z"
"spotify:track:6afpT3wW8NdIe7nimRNRd0","The Lament Of Eustace Scrubb","The Oh Hellos","Through the Deep, Dark Valley","1","7","245777","spotify:user:124275045","2015-08-03T17:05:21Z"
"spotify:track:4XFkKK6rHd43CHncSVjIM2","Making The Most Of The Night","Carly Rae Jepsen","Making The Most Of The Night","1","1","238520","spotify:user:124275045","2015-08-09T18:25:38Z"
"spotify:track:7lKChmDTAMyAC0ERSPFxGq","Paint's Peeling","Rilo Kiley","The Execution Of All Things","1","2","200933","spotify:user:124275045","2015-08-11T12:56:53Z"
"spotify:track:4D0R0cPruef7gbtp91aFVT","Drawn to the Blood","Sufjan Stevens","Carrie & Lowell","1","4","198478","spotify:user:124275045","2015-08-11T15:18:45Z"
"spotify:track:5v4jXIGMVMjP33T1eB7LCc","Retina Television","Marika Hackman","That Iron Taste","1","4","164080","spotify:user:124275045","2015-08-13T19:29:40Z"
"spotify:track:5uUByQFYLh4RINJ7q3J0SJ","The Opposite of Hallelujah","Jens Lekman","Night Falls Over Kortedala","1","3","261813","spotify:user:124275045","2015-08-13T21:46:42Z"
"spotify:track:5e0vgBWfwToyphURwynSXa","Run Away With Me","Carly Rae Jepsen","Emotion","1","1","251320","spotify:user:124275045","2015-08-26T12:44:13Z"
