﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7ueP5u2qkdZbIPN2YA6LR0","Sail","AWOLNATION","Megalithic Symphony","1","10","259093","spotify:user:124275045","2013-08-14T15:35:18Z"
"spotify:track:1GSRFEhfOuRB7fel3Gris2","Hey Boy","The Blow","Poor Aim: Love Songs","1","1","166706","spotify:user:124275045","2013-08-14T15:32:42Z"
"spotify:track:0cITLOYn1Sv4q27zZPqlNK","Red","Taylor Swift","Red","1","2","220826","spotify:user:124275045","2013-08-14T15:34:49Z"
"spotify:track:0i5el041vd6nxrGEU8QRxy","Cruise","Florida Georgia Line","Here's To The Good Times","1","1","208960","spotify:user:124275045","2013-08-18T02:14:29Z"
"spotify:track:6188Fow3xRIKljrMDr9qIy","Cups - Radio Version","Hit Mix","Cups (When I'm Gone)","1","2","128160","spotify:user:124275045","2013-08-14T15:32:55Z"
"spotify:track:3at6zq1Bk7qAlNqwRFnDID","Dancing On My Own","Robyn","Body Talk","1","3","285853","spotify:user:124275045","2013-08-14T15:33:12Z"
"spotify:track:6Ce04PNSJO1KkF1WWhSXEi","Blue Jeans","Lana Del Rey","Born To Die (Bonus Track Version)","1","3","209453","spotify:user:124275045","2013-08-14T15:34:22Z"
"spotify:track:7AEAGTc8cReDqcbPoY9gwo","We Are Never Ever Getting Back Together","Taylor Swift","Red","1","8","191880","spotify:user:124275045","2013-08-14T15:34:55Z"
"spotify:track:3EYCnUU1VLT4jb6ieXKqXy","Electric Feel - Justice Remix","MGMT","Electric Feel","1","2","327386","spotify:user:124275045","2013-08-14T15:36:10Z"
"spotify:track:3WWvXtHdJiyvl9JONWwzqR","Stephen","Kesha","Animal + Cannibal (Deluxe Edition)","1","5","212373","spotify:user:124275045","2013-08-14T15:32:45Z"
"spotify:local:The+Beatles:Please+Please+Me:A+Taste+Of+Honey:125","A Taste Of Honey","The Beatles","Please Please Me","0","0","125000","spotify:user:124275045","2013-08-18T01:12:39Z"
