﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:71sC9gVXaFRwAMHJyQO8al","A Better Son/Daughter","Rilo Kiley","The Execution Of All Things","1","6","279066","spotify:user:124275045","2014-03-03T18:34:18Z"
"spotify:track:1KM2YtlA69C6WKbxA1vdsR","Honey & I","HAIM","Days Are Gone","1","5","250133","spotify:user:124275045","2014-03-18T01:39:15Z"
"spotify:track:1HSWKn5hFsaHiGMnoBPsYr","The Mother We Share","CHVRCHES","The Bones of What You Believe (Special Edition)","1","1","191293","spotify:user:124275045","2014-02-28T14:28:02Z"
"spotify:track:0vvG0VEN6l2fbIEUtq3mQD","American Girl","Bonnie McKee","American Girl","1","1","224106","spotify:user:124275045","2014-03-15T10:10:23Z"
"spotify:track:0TWx16aLskabXzhHTTPulV","Regret","St. Vincent","St. Vincent","1","7","201760","spotify:user:124275045","2014-02-28T14:28:14Z"
"spotify:track:3pDEtP8fRPi7t7GrDdpmaf","This Must Be the Place (Naive Melody) - Remastered","Talking Heads","The Best Of Talking Heads","1","11","296133","spotify:user:124275045","2014-03-03T15:12:15Z"
"spotify:track:4rlHfC7IfAqHRTqBQHkx8m","Breakin' Up","Rilo Kiley","Breakin' Up EP","1","1","217453","spotify:user:124275045","2014-03-03T14:20:25Z"
"spotify:track:65iXgVBjiF7oOORNWo0hRV","Full Moon Rising","Neil Halstead","Palindrome Hunches","1","8","354440","spotify:user:124275045","2014-02-28T14:28:28Z"
"spotify:track:6Je5Vjd8VXVpQYcOiav5KU","Don't Save Me","HAIM","Days Are Gone","1","6","230293","spotify:user:124275045","2014-02-28T17:09:46Z"
"spotify:track:0ieqq1wbtso2UjJWPqJ5Xc","Silver Lining","Rilo Kiley","Under The Blacklight (Standard Version)","1","1","216973","spotify:user:124275045","2014-03-03T14:20:21Z"
"spotify:track:0uXDKiBgFexDfxCGEgFa4k","And She Was - Remastered","Talking Heads","The Best Of Talking Heads","1","15","217800","spotify:user:124275045","2014-03-03T15:43:49Z"
"spotify:track:5wL742yBgvtbw1IibA3FMJ","Falling","HAIM","Days Are Gone","1","1","257733","spotify:user:124275045","2014-03-17T22:39:29Z"
"spotify:track:71GvlH0VdeClloLIkHrAVu","Diamonds on the Soles of Her Shoes","Paul Simon","Graceland (25th Anniversary Deluxe Edition)","1","5","349280","spotify:user:124275045","2014-03-04T03:48:35Z"
"spotify:track:4iwMhMvcTqukn1n3NVjb2N","Holland, 1945","Neutral Milk Hotel","In the Aeroplane Over the Sea","1","6","192533","spotify:user:124275045","2014-03-07T17:42:10Z"
"spotify:track:2tnlTf2pIIYlQtUAo5AbNE","Love Is The Seventh Wave","Sting","The Dream Of The Blue Turtles","1","2","212400","spotify:user:124275045","2014-03-08T20:32:41Z"
"spotify:track:6FmBGUWTmt2mCxsY7rXxgl","Wolf Like Me","TV On The Radio","Wolf Like Me","1","1","279426","spotify:user:124275045","2014-03-12T04:09:39Z"
"spotify:track:55N0YHhO55Q1lWsc4dDPcI","A World Alone","Lorde","Pure Heroine","1","10","294222","spotify:user:124275045","2014-03-15T10:12:09Z"
"spotify:track:5QQRYDzn67UeahDRWlV8pO","Through the Mines","Stars","The North","1","5","250693","spotify:user:124275045","2014-03-21T14:47:04Z"
"spotify:track:6XK6Zw6JkFsHXzAcMWNiIr","Send Me On My Way","Rusted Root","When I Woke","1","3","263360","spotify:user:124275045","2014-03-24T01:32:08Z"
