﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2PNpD1GppJe7jDdd4cTqx9","The Grey King and the Silver Flame Attunement","The Mountain Goats","Goths (Deluxe Version)","1","3","294133","spotify:user:124275045","2018-12-01T18:07:58Z"
"spotify:track:3VTNVsTTu05dmTsVFrmGpK","Fairytale of New York (feat. Kirsty MacColl)","The Pogues, Kirsty MacColl","If I Should Fall From Grace With God (Expanded)","1","4","272200","spotify:user:124275045","2018-12-08T16:43:31Z"
"spotify:track:7E3Cf84AvkaFFdkoOWOcRp","Maoz Tzur (Rock of Ages","Sufjan Stevens","Silver & Gold","2","22","42173","spotify:user:124275045","2018-12-08T16:43:50Z"
"spotify:track:2HGauri7NDGHmTKM3C34g1","Come Thou Fount of Every Blessing","Sufjan Stevens","Songs For Christmas","2","3","283146","spotify:user:124275045","2018-12-08T16:43:57Z"
"spotify:track:1RYoPgsD1auw2V270p2JZm","Mi Y'maleil (Who Can Retell)","Dreidel Tops","Traditional Hannukah Songs","1","11","90374","spotify:user:124275045","2018-12-08T16:44:03Z"
"spotify:track:1bA9Xkoy3bsbayZHbeNfe1","The Holly & The Ivy","Los Campesinos!","A Los Campesinos! Christmas","1","3","296560","spotify:user:124275045","2018-12-08T16:44:29Z"
"spotify:track:1FiKOBmcYHkOywoIRdqQ7S","The Last Time I Saw Richard - Live","Joni Mitchell","Miles Of Aisles","1","16","215360","spotify:user:124275045","2018-12-08T16:44:31Z"
"spotify:track:0iluWxTpC9QOdVPg3PROvm","Hounds Of Love","Kate Bush","Hounds Of Love","1","2","183266","spotify:user:124275045","2018-12-08T16:46:30Z"
"spotify:track:5IjPQmvxpiGGXkSSNoenBg","O splendor gloriae","John Taverner, Stile Antico","The Phoenix Rising","1","14","772599","spotify:user:124275045","2018-12-09T13:52:11Z"
"spotify:track:5COtvgd7dOLF2qn1PfZx0n","Silver Dagger","Fleet Foxes","First Collection 2006-2009","4","2","199493","spotify:user:124275045","2018-12-11T15:59:03Z"
"spotify:track:4fU3qg4SspCNdPXvjZqzoi","Full Phathom Five","Hem","Twelfth Night","1","9","87026","spotify:user:124275045","2018-12-18T16:09:29Z"
"spotify:track:4WmILdqbZOqBfy1zOtCuno","Love Or Money - Live","Joni Mitchell","Miles Of Aisles","1","18","290466","spotify:user:124275045","2018-12-18T18:06:47Z"
