﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7CQlCSxXxOY4AqqTVUav9p","El Condor Pasa (If I Could)","Simon & Garfunkel","Wild - Original Motion Picture Soundtrack","1","1","188080","spotify:user:124275045","2015-01-01T19:43:30Z"
"spotify:track:2Zw80eYDdpRNIgupO0X77B","Nobody's Empire","Belle & Sebastian","Nobody's Empire","1","1","307259","spotify:user:124275045","2015-01-01T19:43:19Z"
"spotify:local:Taylor+Swift:1989+%28Deluxe%29:Wildest+Dreams:220","Wildest Dreams","Taylor Swift","1989 (Deluxe)","0","0","220000","spotify:user:124275045","2015-01-02T16:17:52Z"
"spotify:track:0Nu9WA8kEbBWEsay2s8Q0U","Even If It Breaks Your Heart","Eli Young Band","Life At Best","1","1","220520","spotify:user:124275045","2015-01-10T02:49:02Z"
"spotify:track:3jVtllWS5CFFWLQng8sKsr","2 On (feat. ScHoolboy Q)","Tinashe, ScHoolboy Q","Aquarius","1","5","227000","spotify:user:124275045","2015-01-02T16:32:07Z"
"spotify:track:4PvD06Pmbm2rHG2JjSlElF","Beggin For Thread","BANKS","Goddess (Deluxe)","1","10","249739","spotify:user:124275045","2015-01-01T19:48:11Z"
"spotify:track:1OkCqIuPJeaLksbOcZXVaz","Drown","Marika Hackman","Drown","1","1","231670","spotify:user:124275045","2015-01-01T19:43:26Z"
"spotify:local:Taylor+Swift:1989+%28Deluxe%29:I+Know+Places:195","I Know Places","Taylor Swift","1989 (Deluxe)","0","0","195000","spotify:user:124275045","2015-01-02T16:18:00Z"
"spotify:track:5avoYLYi2gYnCTm7wQQWTw","Walk Unafraid","First Aid Kit","Wild - Original Motion Picture Soundtrack","1","2","317520","spotify:user:124275045","2015-01-01T19:43:34Z"
"spotify:track:4JtK4KieKw8mlPAIX4ODht","Oh, Sister","Bob Dylan","Desire","1","5","241773","spotify:user:124275045","2015-01-01T19:47:08Z"
"spotify:track:03j2dl7r3hud5V7uoVsnJQ","The Wrong Year","The Decemberists","What A Terrible World, What A Beautiful World","1","7","233013","spotify:user:124275045","2015-01-21T00:28:00Z"
"spotify:track:4bBrKDo8rchikwZOtmXbIH","The Night Is Still Young","Nicki Minaj","The Pinkprint (Deluxe)","1","13","227560","spotify:user:124275045","2015-01-01T19:47:46Z"
"spotify:track:5J4ZkQpzMUFojo1CtAZYpn","Love Me Harder","Ariana Grande, The Weeknd","My Everything (Deluxe)","1","9","236133","spotify:user:124275045","2015-01-01T19:49:21Z"
"spotify:track:0aDqsuKFN0zLyR0hXHeWxk","Everybody's In","Lena Fayre","Oko","1","3","171573","spotify:user:124275045","2015-01-08T23:32:52Z"
"spotify:local:Taylor+Swift:1989+%28Deluxe%29:Clean:271","Clean","Taylor Swift","1989 (Deluxe)","0","0","271000","spotify:user:124275045","2015-01-02T16:17:56Z"
"spotify:track:4XTdx5Ss9mFgSKPiwcHs8f","Smother","Daughter","If You Leave","1","2","241466","spotify:user:124275045","2015-01-02T16:36:55Z"
"spotify:track:65iXgVBjiF7oOORNWo0hRV","Full Moon Rising","Neil Halstead","Palindrome Hunches","1","8","354440","spotify:user:124275045","2015-01-02T16:37:24Z"
"spotify:track:76BWRxjtRHUuWY1mJUrcC9","24-25","Kings of Convenience","Declaration Of Dependence","1","1","218266","spotify:user:124275045","2015-01-06T01:49:25Z"
"spotify:track:3y7SaLukj7ONKxdZLAoQtH","Deep Green","Marika Hackman","Deaf Heat EP","1","2","215729","spotify:user:124275045","2015-01-08T23:29:36Z"
"spotify:track:6YnhJIOJuBh9TSWwzo9ghp","I Lost Myself","Sivu","I Lost Myself - EP","1","1","256987","spotify:user:124275045","2015-01-08T23:30:42Z"
"spotify:track:5Fjlhpsb2xFbSCXsBG0MY3","Dreadful Wind And Rain","Jerry Garcia, David Grisman","Shady Grove","1","9","287666","spotify:user:124275045","2015-01-09T03:31:58Z"
"spotify:track:1rj7ppFYWy9Aby8nPqOq0s","Go Places","The New Pornographers","Challengers","1","9","272666","spotify:user:124275045","2015-01-15T21:21:47Z"
"spotify:track:21epDIFWbHX8SVlDWpTJDC","Carolina Low","The Decemberists","What A Terrible World, What A Beautiful World","1","8","204906","spotify:user:124275045","2015-01-22T23:02:36Z"
"spotify:track:14lWBgWiFvrKFGzsDvBukl","Hearts","Young Karin","n1","1","2","177272","spotify:user:124275045","2015-01-25T01:25:25Z"
"spotify:track:55jbdIoizSDuI6bF3hIRYP","Plane Crash in C","Rilo Kiley","Take Offs and Landings","1","7","312000","spotify:user:124275045","2015-01-25T03:31:52Z"
"spotify:track:0ITwTSwgsqcPtRBeNYe9yy","Head Underwater","Jenny Lewis","The Voyager","1","1","248160","spotify:user:124275045","2015-01-26T02:47:52Z"
"spotify:track:0qNrKrghOyGtoXzjGBc14a","I Won't Back Down","Tom Petty","Greatest Hits","1","12","175373","spotify:user:124275045","2015-01-26T23:54:28Z"
"spotify:track:2LTCcb1zjqrgcd27e7dS9h","Plans","Marika Hackman","That Iron Taste","1","6","218346","spotify:user:124275045","2015-01-31T15:22:31Z"
