﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4JvTuG7HM1vVX0pqkhXJXL","My Mountain Is Cold","Fences","Lesser Oceans","1","8","242840","spotify:user:124275045","2015-11-01T20:19:59Z"
"spotify:track:0dFf2G2Q5SdYbvcLDK58EB","Blacktop","Julien Baker","Sprained Ankle","1","1","283509","spotify:user:124275045","2015-11-01T20:20:06Z"
"spotify:track:5Zeiw8jeN2GFB6TjEaVlZE","Come Away","Handsome and Gretyl","Miles and Miles","1","4","221266","spotify:user:124275045","2015-11-01T20:20:09Z"
"spotify:track:70K0ezmzYEZeqoSaZMyP7o","Let It All Go","Birdy, RHODES","Let It All Go","1","1","280757","spotify:user:124275045","2015-11-01T20:20:12Z"
"spotify:track:1URhjZLfCUOKroijjKGtOJ","Rejoice","Julien Baker","Sprained Ankle","1","7","213800","spotify:user:124275045","2015-11-08T21:09:34Z"
"spotify:track:7nRmfGNhHKEEu5o8yFXLXt","Magnets","Disclosure, Lorde","Caracal (Deluxe)","1","6","199245","spotify:user:124275045","2015-11-01T20:20:17Z"
"spotify:track:2OBgZrayUVupeEtt1eu2V4","John My Beloved","Sufjan Stevens","Carrie & Lowell","1","9","304870","spotify:user:124275045","2015-11-01T20:54:44Z"
"spotify:track:2yz6zOpglmAx35Pw1oJYoU","Infamous","Basia Bulat","Infamous","1","1","222586","spotify:user:124275045","2015-11-03T01:28:48Z"
"spotify:track:0HVKRenL5KRyNsH4dTow01","Honey Honey","Feist","The Reminder","1","12","206160","spotify:user:124275045","2015-11-05T16:56:33Z"
"spotify:track:1aoBqoZBJ2xuBoWnqV1XVt","Something","Julien Baker","Sprained Ankle","1","6","232550","spotify:user:124275045","2015-11-08T21:05:44Z"
"spotify:track:65nCVhtlWYUzNvcM1MYp4l","Landslide","Dixie Chicks","The Essential Dixie Chicks","1","11","228480","spotify:user:124275045","2015-11-19T02:10:25Z"
"spotify:track:1JYtlIFdYms6nZNf2K7Yys","Flesh without Blood","Grimes","Flesh without Blood","1","1","264523","spotify:user:124275045","2015-11-08T23:59:52Z"
"spotify:track:38ydcsbayM4oX21Hhu84DT","Every Time the Sun Comes Up","Sharon Van Etten","Are We There","1","11","262520","spotify:user:124275045","2015-11-09T14:03:24Z"
"spotify:track:6qjfaap6n00ayRLpKRitPE","Wrecking Ball - Acoustic","Two Worlds","Wrecking Ball (Acoustic)","1","1","213750","spotify:user:124275045","2015-11-19T01:59:59Z"
"spotify:track:6btUHzFhMcTSRJsB055QAz","Feel You","Julia Holter","Have You In My Wilderness","1","1","248653","spotify:user:124275045","2015-11-09T14:03:39Z"
"spotify:track:2THkQauDWMvJgXFGPY4iKB","Too young","Phoenix","United","1","2","197973","spotify:user:124275045","2015-11-12T19:17:26Z"
"spotify:track:5QzPvLo4IzkSVkVzVdKTZ5","Party Talk","Craft Spells","Party Talk","1","1","219880","spotify:user:124275045","2015-11-12T19:21:43Z"
"spotify:track:42HGl10TZF0LLfLgMWNtfw","Edge of Seventeen","The Wind and The Wave","Covers One","1","3","327853","spotify:user:124275045","2015-11-19T02:01:27Z"
"spotify:track:5SFNuQ7FucfiqoryTWKJ5p","Backlines","Stars","The North","1","2","131586","spotify:user:124275045","2015-11-12T19:28:47Z"
"spotify:track:7suXfwkW9Cg9fBS3San5T5","Hero","Regina Spektor","(500) Days of Summer (Music from the Motion Picture)","1","11","209626","spotify:user:124275045","2015-11-17T14:38:33Z"
"spotify:track:2BPyBYjVb0arcG8FiDlkat","Numbers","Daughter","Numbers","1","1","256920","spotify:user:124275045","2015-11-17T14:42:14Z"
"spotify:track:0udJrKQOgJz6TwZXuhi7IM","This Must Be the Place (Naive Melody) [by Talking Heads]","Kishi Bashi","7" Singles","1","4","206896","spotify:user:124275045","2015-11-19T01:55:44Z"
