﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2vwlzO0Qp8kfEtzTsCXfyE","Wrecking Ball","Miley Cyrus","Bangerz (Deluxe Version)","1","6","221360","spotify:user:124275045","2013-12-14T03:56:59Z"
"spotify:track:5yAoUyUvSQZeNrIvrlpN9p","Overture","Duke Ellington","The Nutcracker Suite","1","1","214519","spotify:user:124275045","2013-12-01T17:09:49Z"
"spotify:track:3Nx6iu7XpzWL1QMPRJKzqL","Baby It's Cold Outside","Ella Fitzgerald, Louis Jordan","Ella & Friends","1","11","163706","spotify:user:124275045","2013-12-01T17:08:36Z"
"spotify:track:5Zw4G60gwvP8FXYm9TbXHk","Tomorrow Shall Be My Dancing Day","John Gardner, Huw Tregelles Williams, Chris Stock, Mark Walker, BBC Welsh Chorus, John Hugh Thomas","The Spirit of Christmas Present","1","4","120000","spotify:user:124275045","2013-12-01T17:45:38Z"
"spotify:track:6JFc0YHtb1jUwG1ddn4dEB","Coventry Carol","Sufjan Stevens","Silver & Gold","1","3","173946","spotify:user:124275045","2013-12-01T17:14:48Z"
"spotify:track:6iPts9xlqad89veX2qCYlx","Sleigh Ride - Instrumental","Leroy Anderson, Boston Pops Orchestra, John Williams, Arthur Fiedler","I'll Be Home For Christmas","1","5","172240","spotify:user:124275045","2013-12-01T17:12:25Z"
"spotify:track:3uZiHsZPLQInsIviTWejsl","The Blue Train","Emmylou Harris, Linda Ronstadt, Dolly Parton","Trio II","1","5","303893","spotify:user:124275045","2014-01-14T18:57:43Z"
"spotify:track:6jwuR8NmVaAAjwuJuKNjKr","O Come O Come Emmanuel","Sufjan Stevens","Songs For Christmas","1","2","240560","spotify:user:124275045","2013-12-01T17:16:52Z"
"spotify:track:1lZJzhTAzXWgEY3RSw9cvx","Sweet Baby James","James Taylor","Greatest Hits","1","4","171093","spotify:user:124275045","2013-12-01T17:22:34Z"
"spotify:track:0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","Mariah Carey","Merry Christmas","1","2","241106","spotify:user:124275045","2013-12-01T17:06:15Z"
"spotify:track:4gagAUImbNWYowf4TKgKnB","God Rest Ye Merry Gentlemen","Bright Eyes","A Christmas Album","1","4","112826","spotify:user:124275045","2013-12-01T17:39:53Z"
"spotify:track:0tZDgH4fneRMBf1jPrm8Wo","Lo! How A Rose E'er Blooming","Sufjan Stevens","Songs For Christmas","1","4","202186","spotify:user:124275045","2013-12-01T17:25:35Z"
"spotify:local:Kinks:A+Rock+%27n%27+Roll+Christmas:Father+Christmas:220","Father Christmas","Kinks","A Rock 'n' Roll Christmas","0","0","220000","spotify:user:124275045","2013-12-01T17:27:57Z"
"spotify:track:7tIsKBMk2TSf0fkPV8Pamv","Have Yourself A Merry Little Christmas - "Meet Me In St. Louis" Original Cast Recording","Judy Garland","20th Century Masters: The Millennium Collection: Best Of Judy Garland","1","7","165026","spotify:user:124275045","2013-12-01T17:40:15Z"
"spotify:track:6xe8Sx5h8MYL3ZD5totFZT","Horchata","Vampire Weekend","Contra","1","1","206733","spotify:user:124275045","2013-12-01T18:42:34Z"
"spotify:track:0DAmSYQW9kq9gQNDI002KP","River","Joni Mitchell","Blue","1","8","245040","spotify:user:124275045","2013-12-01T21:11:32Z"
"spotify:track:02IFQyxAI0Ubq9Vog2EX6M","O Magnum Mysterium","Morten Lauridsen, Los Angeles Master Chorale and Sinfonia Orchestra, Paul Salamunovich","Lauridsen: Lux Aeterna","1","17","338040","spotify:user:124275045","2013-12-01T23:10:21Z"
"spotify:local:Bill+Nighy:Love+Actually:Christmas+Is+All+Around:232","Christmas Is All Around","Bill Nighy","Love Actually","0","0","232000","spotify:user:124275045","2013-12-02T02:33:34Z"
"spotify:track:3cHyrEgdyYRjgJKSOiOtcS","Timber","Pitbull, Kesha","Global Warming: Meltdown (Deluxe Version)","1","13","204160","spotify:user:124275045","2013-12-09T03:47:40Z"
"spotify:track:3MqGxCA7NNrLKA2us9jAns","I Wish","Cher Lloyd, T.I.","I Wish","1","1","211813","spotify:user:124275045","2013-12-14T03:55:43Z"
"spotify:track:55N0YHhO55Q1lWsc4dDPcI","A World Alone","Lorde","Pure Heroine","1","10","294222","spotify:user:124275045","2013-12-14T03:57:46Z"
