﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0eEncOnmSHqnm1sgXsjUSA","September","Earth, Wind & Fire","The Best Of Earth, Wind & Fire Vol. 1","1","7","215093","spotify:user:124275045","2017-09-17T15:10:50Z"
"spotify:track:0B48113ZG9UfkWWt7qD9xX","Younger Now","Miley Cyrus","Younger Now","1","1","248781","spotify:user:124275045","2017-09-01T16:14:02Z"
"spotify:track:0grO1Y8vkaJqWu4im2fZy2","All I Wanted","Daughter","Music From Before The Storm","1","8","201799","spotify:user:124275045","2017-09-05T23:50:53Z"
"spotify:track:2pA4ip3VIEVcIa3qE02oAX","10,000 Emerald Pools","BØRNS","Dopamine","1","1","174693","spotify:user:124275045","2017-09-06T22:01:53Z"
"spotify:track:3ad1MVf3CUFCWW1EyMc9kk","Heaven Must Be Missing An Angel - Pt. 1","Tavares","Anthology","1","13","394133","spotify:user:124275045","2017-09-16T19:20:45Z"
"spotify:local:Cat+Stevens:Tea+for+The+Tillerman:Father+%26+Son:223","Father & Son","Cat Stevens","Tea for The Tillerman","0","0","223000","spotify:user:124275045","2017-09-17T13:27:18Z"
"spotify:track:5BX9R694ZWdgyMEgswWvgY","Mt. Washington","Local Natives","Hummingbird","1","9","198933","spotify:user:124275045","2017-09-17T15:18:42Z"
"spotify:track:7rdUtXasA973gmrr2Xxh3E","Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX","Lorde, Khalid, Post Malone, SZA","Homemade Dynamite (Feat. Khalid, Post Malone & SZA) [REMIX]","1","1","214254","spotify:user:124275045","2017-09-17T15:20:13Z"
"spotify:track:50GxesY5I0YSRt9nM9Psyl","Warning Intruders","Rostam","Half-Light","1","12","211480","spotify:user:124275045","2017-09-17T15:24:53Z"
"spotify:track:3vfFNfRktrxUZijtqqCZlE","Never Going To Catch Me","Rostam","Half-Light","1","6","189600","spotify:user:124275045","2017-09-17T15:30:06Z"
