﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1MTm3GF4RaVq0KBcuLisKN","Tactilian","Half Waif","Probable Depths","1","8","254876","spotify:user:124275045","2018-01-31T16:08:11Z"
"spotify:track:4u9Y4Z9i9VaAbBK7rW1Rha","Meet Me in the Hallway","Harry Styles","Harry Styles","1","1","227200","spotify:user:124275045","2018-01-31T16:08:13Z"
"spotify:track:0zL76omZWytdTtyXKVfuDw","Homemade Dynamite","Lorde","Melodrama","1","3","189796","spotify:user:124275045","2018-01-31T16:08:16Z"
"spotify:track:7F5oktn5YOsR9eR5YsFtqb","New Year’s Day","Taylor Swift","reputation","1","15","235466","spotify:user:124275045","2018-01-31T16:08:21Z"
"spotify:track:2cJi3r94aJlPRtGjrzu4Sr","Blue Moon - Take 9/M","Elvis Presley","A Boy From Tupelo: The Complete 1953-1955 Recordings","1","9","163960","spotify:user:124275045","2018-02-14T17:07:06Z"
"spotify:track:3gtL2E6j0vJb1LLtkphfMm","Burn It Down","Daughter","Music From Before The Storm","1","2","191963","spotify:user:124275045","2018-01-31T16:42:17Z"
"spotify:track:5WwOBQWE4nhpLHFUvdaEq0","Leaf off / The Cave","José González","Vestiges & Claws","1","5","293880","spotify:user:124275045","2018-02-03T17:09:59Z"
"spotify:track:7vm0pFDD7iJmJ3a15vV4Ke","Miles of Skyline","River Whyless","River Whyless","1","4","298480","spotify:user:124275045","2018-02-03T17:10:27Z"
"spotify:track:1qXjolYMICsnISl8xZAbA2","Perfect Places","Lorde","Melodrama","1","11","221874","spotify:user:124275045","2018-02-26T20:24:57Z"
"spotify:track:5uES1C2NgkdrNHiCwf9jRr","Baby Love","The Supremes","Where Did Our Love Go","1","3","158040","spotify:user:124275045","2018-02-14T16:53:01Z"
"spotify:track:5YF9LcLUnzyiiPul1DyZwa","Make You Better","The Decemberists","What A Terrible World, What A Beautiful World","1","4","307866","spotify:user:124275045","2018-02-03T17:10:30Z"
"spotify:local:Laura+Marling:LEAVE+ME+YOUR+STARDUST%3B+a+Ten+%26+Rose+mix:Ghosts:181","Ghosts","Laura Marling","LEAVE ME YOUR STARDUST; a Ten & Rose mix","0","0","181000","spotify:user:124275045","2018-02-03T17:11:00Z"
"spotify:track:1drUAdX3NY4dTieuxdedLY","Smother","Daughter","If You Leave","1","2","240560","spotify:user:124275045","2018-01-31T17:39:03Z"
"spotify:local:Hanson::We+Are+Never+Ever+Getting+Back+Together+%28Taylor+Swift%29:171","We Are Never Ever Getting Back Together (Taylor Swift)","Hanson","","0","0","171000","spotify:user:124275045","2018-02-07T22:07:18Z"
"spotify:track:69vzkewKl2LPquyEiqD8BB","Electric Lady [feat. Solange]","Janelle Monáe, Roman GianArthur, Solange","The Electric Lady","1","4","308893","spotify:user:124275045","2018-02-26T20:25:07Z"
"spotify:track:7I7JbDv63ZJJsSi24DyJrz","Dancing With Our Hands Tied","Taylor Swift","reputation","1","11","211506","spotify:user:124275045","2018-02-07T22:19:28Z"
"spotify:track:1Q1b8eVkUPGlpSArl8JAVw","Heart of Gold - 2009 Remaster","Neil Young","Harvest (Remastered Version)","1","4","187013","spotify:user:124275045","2018-02-12T20:48:09Z"
"spotify:track:1Himp3M7IH46qw2yBN1Fxy","Finding You","Kesha","Rainbow","1","7","172773","spotify:user:124275045","2018-02-12T20:52:58Z"
"spotify:track:6vL5Kx5LmZzcL12DZl2OiY","Why Do Fools Fall in Love","Frankie Lymon & The Teenagers","25 Greatest Hits","1","1","138973","spotify:user:124275045","2018-02-14T16:52:49Z"
"spotify:track:0iluWxTpC9QOdVPg3PROvm","Hounds Of Love","Kate Bush","Hounds Of Love","1","2","183266","spotify:user:124275045","2018-02-19T19:54:41Z"
"spotify:track:6P8CsMuJCaqrlr4FDqELUQ","Landslide","Robyn Sherwell","Robyn Sherwell","1","11","170399","spotify:user:124275045","2018-02-20T02:54:44Z"
"spotify:track:0ak9xScGzG7JaA1BUlLb7S","Severed","The Decemberists","Severed","1","1","243800","spotify:user:124275045","2018-02-21T00:04:19Z"
"spotify:track:7bUcBztfGqO7cSI2gMZeCI","Opps (with Yugen Blakrok)","Vince Staples, Yugen Blakrok","Black Panther The Album Music From And Inspired By","1","5","180893","spotify:user:124275045","2018-02-23T19:09:12Z"
"spotify:track:2tPcTFiQF9MbVUyjZ3zDhA","Paramedic!","SOB X RBE","Black Panther The Album Music From And Inspired By","1","7","219306","spotify:user:124275045","2018-02-23T19:16:18Z"
"spotify:track:79GsUxLyzxgnN4I1E11dtO","Make Me Feel","Janelle Monáe","Make Me Feel","1","1","194230","spotify:user:124275045","2018-02-26T20:25:15Z"
"spotify:track:1tAoLzNNXRabfHHzSqdk3R","Django Jane","Janelle Monáe","Django Jane","1","1","193506","spotify:user:124275045","2018-02-26T20:25:16Z"
"spotify:track:1ljzHUgt2SU2ADkhfa9eBC","Tightrope - feat. Big Boi","Janelle Monáe","The ArchAndroid","1","7","262586","spotify:user:124275045","2018-02-26T23:33:04Z"
