﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4h1T8pUzl9VtudWWlVAxxz","Mo Money Mo Problems (feat. Mase & Puff Daddy)","The Notorious B.I.G., Mase & Puff Daddy","Bad Boy's 10th Anniversary- The Hits","1","8","253133","spotify:user:124275045","2014-06-01T16:52:10Z"
"spotify:track:6EIsMa5lbvljYxqCkjZVDi","Baby I","Ariana Grande","Yours Truly","1","2","197600","spotify:user:124275045","2014-06-03T16:35:22Z"
"spotify:track:7JDvVwntDsOPoWFEE0iGfQ","Constructive Summer","The Hold Steady","Stay Positive","1","1","175733","spotify:user:124275045","2014-06-01T16:52:33Z"
"spotify:track:7rCst0OgoSxwP1C6d7J8ks","Real","Years & Years","Real","1","1","245762","spotify:user:124275045","2014-06-01T16:53:11Z"
"spotify:track:6g6A7qNhTfUgOSH7ROOxTD","Talk Dirty (feat. 2 Chainz) - MDM Version","Jason Derulo, 2 Chainz","Talk Dirty","1","1","177685","spotify:user:124275045","2014-06-01T16:53:20Z"
"spotify:track:1KI016Hog5kWTGaKN3nZJS","Can't Let Go","Lucinda Williams","Car Wheels On A Gravel Road","1","7","208453","spotify:user:124275045","2014-06-01T16:53:23Z"
"spotify:track:3XOtujaVWXRHjKm6dAOm1R","Sewee Sewee","Mountain Man","Made The Harbor","1","9","131320","spotify:user:124275045","2014-06-01T16:53:25Z"
"spotify:track:6LVLyPbKzRhSb9nlp8upH5","Be All Be Easy","Woods","Sun and Shade","1","3","156435","spotify:user:124275045","2014-06-01T16:53:59Z"
"spotify:track:71jGGLe5VtEHjIk5dU2W3S","Red Eyes","The War On Drugs","Lost In The Dream","1","2","298920","spotify:user:124275045","2014-06-01T16:55:12Z"
"spotify:track:3ShTaJBCOclymogQNzPde7","Buzzcut Season","Lorde","Pure Heroine (Extended)","1","5","246755","spotify:user:124275045","2014-06-03T15:52:57Z"
"spotify:track:7cmMZ45nWU8JtvdIzgXlli","Sea of Love","The National","Trouble Will Find Me","1","5","221440","spotify:user:124275045","2014-06-05T14:00:22Z"
"spotify:track:0JNdS1n0ifOP25XvhwAMgM","The Edge Of Glory","Lady Gaga","Born This Way","1","14","320586","spotify:user:124275045","2014-06-09T00:46:43Z"
"spotify:track:1xCqIXCApBgcjwRLostpKl","Piano","Ariana Grande","Yours Truly","1","6","234426","spotify:user:124275045","2014-06-09T04:19:15Z"
"spotify:track:7z5ai4q5uGrdEBzjHskPql","Coffee","Sylvan Esso","Coffee","1","1","269693","spotify:user:124275045","2014-06-12T18:59:20Z"
"spotify:track:1JmPASoql4lnXimD5ICqRP","Not a Bad Thing","Justin Timberlake","Not a Bad Thing","1","1","266294","spotify:user:124275045","2014-06-13T01:55:40Z"
"spotify:track:5jrdCoLpJSvHHorevXBATy","Dark Horse","Katy Perry, Juicy J","PRISM (Deluxe)","1","6","215672","spotify:user:124275045","2014-06-13T02:35:21Z"
"spotify:track:6y0t7RImsrTPmVQ1J7Fudg","Babylon","Mountain Man","Made The Harbor","1","12","101093","spotify:user:124275045","2014-06-14T02:05:07Z"
"spotify:track:6Nc3KauZ5OOk7ogX7h5HhO","Boys","Sky Ferreira","Night Time, My Time","1","1","279880","spotify:user:124275045","2014-06-14T02:06:58Z"
"spotify:track:7jxNl5VKoUeN3CG9vtKcFw","Let It Fall","Lykke Li","Youth Novels","1","4","162200","spotify:user:124275045","2014-06-14T18:15:06Z"
"spotify:track:3H9DlQEsjB0whMWy9g4MCX","Fancy","Iggy Azalea, Charli XCX","The New Classic","1","5","199938","spotify:user:124275045","2014-06-16T17:27:03Z"
"spotify:track:1iXBApi39l5r6lJj9WEXXS","Hideaway","Kiesza","Hideaway","1","1","251960","spotify:user:124275045","2014-06-17T20:40:57Z"
"spotify:track:6RjHDM5JknXALrTDn2liYE","The Fire","Kina Grannis","Elements (Deluxe Version)","1","2","172506","spotify:user:124275045","2014-06-18T14:38:12Z"
"spotify:track:63ouCvRO1W9dpCl4D9Iotz","Heroes","Janelle Monáe","Heroes (Pepsi Beats Of The Beautiful Game)","1","1","199680","spotify:user:124275045","2014-06-18T15:20:19Z"
